ms_code,year,issue,n_votes,agree_usa_strict,agree_chn_strict
PHL,1993,israel_palestine,10,0.2,1.0
PHL,1993,nuclear_weapons,2,0.0,1.0
PHL,1994,colonization,2,0.5,1.0
PHL,1994,disarmament,3,0.6666666666666666,1.0
PHL,1994,human_rights,5,0.0,1.0
PHL,1994,israel_palestine,5,0.0,1.0
PHL,1994,nuclear_weapons,3,0.3333333333333333,1.0
PHL,1995,colonization,3,0.0,1.0
PHL,1995,disarmament,5,0.2,1.0
PHL,1995,economic_development,1,0.0,1.0
PHL,1995,human_rights,5,0.0,1.0
PHL,1995,israel_palestine,10,0.0,1.0
PHL,1995,nuclear_weapons,5,0.4,1.0
PHL,1996,colonization,2,0.0,1.0
PHL,1996,disarmament,8,0.625,1.0
PHL,1996,economic_development,1,0.0,1.0
PHL,1996,human_rights,2,0.0,1.0
PHL,1996,israel_palestine,2,0.0,1.0
PHL,1996,nuclear_weapons,4,0.5,1.0
PHL,1997,colonization,4,0.0,1.0
PHL,1997,disarmament,5,0.6,1.0
PHL,1997,human_rights,5,0.0,1.0
PHL,1997,israel_palestine,8,0.0,1.0
PHL,1997,nuclear_weapons,4,0.5,1.0
PHL,1998,colonization,1,0.0,1.0
PHL,1998,disarmament,5,0.0,1.0
PHL,1998,israel_palestine,6,0.0,1.0
PHL,1998,nuclear_weapons,4,0.0,1.0
PHL,1999,colonization,4,0.0,1.0
PHL,1999,disarmament,6,0.3333333333333333,1.0
PHL,1999,economic_development,4,0.0,1.0
PHL,1999,human_rights,5,0.2,1.0
PHL,1999,israel_palestine,6,0.0,1.0
PHL,1999,nuclear_weapons,4,0.25,1.0
PHL,2000,colonization,3,0.0,1.0
PHL,2000,disarmament,1,0.0,1.0
PHL,2000,economic_development,2,0.0,1.0
PHL,2000,human_rights,3,0.0,1.0
PHL,2000,israel_palestine,8,0.0,1.0
PHL,2000,nuclear_weapons,2,0.5,1.0
PHL,2001,colonization,2,0.0,1.0
PHL,2001,disarmament,2,0.0,1.0
PHL,2001,economic_development,1,0.0,1.0
PHL,2001,human_rights,3,0.0,1.0
PHL,2001,israel_palestine,8,0.125,1.0
PHL,2001,nuclear_weapons,3,0.3333333333333333,1.0
PHL,2002,colonization,2,0.0,1.0
PHL,2002,disarmament,7,0.14285714285714285,1.0
PHL,2002,economic_development,3,0.0,1.0
PHL,2002,human_rights,8,0.0,1.0
PHL,2002,israel_palestine,8,0.0,1.0
PHL,2002,nuclear_weapons,6,0.16666666666666666,1.0
PHL,2003,colonization,1,0.0,1.0
PHL,2003,disarmament,4,0.25,1.0
PHL,2003,economic_development,2,0.5,1.0
PHL,2003,human_rights,9,0.1111111111111111,1.0
PHL,2003,israel_palestine,6,0.3333333333333333,1.0
PHL,2003,nuclear_weapons,4,0.0,1.0
PHL,2004,colonization,4,0.0,1.0
PHL,2004,disarmament,4,0.25,1.0
PHL,2004,human_rights,3,0.0,1.0
PHL,2004,israel_palestine,8,0.0,1.0
PHL,2004,nuclear_weapons,4,0.0,1.0
PHL,2005,colonization,3,0.0,1.0
PHL,2005,disarmament,8,0.125,1.0
PHL,2005,economic_development,2,0.0,1.0
PHL,2005,human_rights,7,0.14285714285714285,0.8571428571428571
PHL,2005,israel_palestine,7,0.0,1.0
PHL,2005,nuclear_weapons,5,0.0,1.0
PHL,2006,colonization,3,0.0,1.0
PHL,2006,disarmament,8,0.0,1.0
PHL,2006,economic_development,4,0.0,1.0
PHL,2006,human_rights,7,0.14285714285714285,0.875
PHL,2006,israel_palestine,6,0.0,1.0
PHL,2006,nuclear_weapons,5,0.2,1.0
PHL,2007,colonization,1,0.0,1.0
PHL,2007,disarmament,10,0.1,1.0
PHL,2007,economic_development,5,0.0,1.0
PHL,2007,human_rights,13,0.0,1.0
PHL,2007,israel_palestine,9,0.0,1.0
PHL,2007,nuclear_weapons,6,0.0,1.0
PHL,2008,colonization,5,0.0,1.0
PHL,2008,disarmament,9,0.2222222222222222,1.0
PHL,2008,economic_development,4,0.0,1.0
PHL,2008,human_rights,12,0.0,0.9166666666666666
PHL,2008,israel_palestine,10,0.0,1.0
PHL,2008,nuclear_weapons,7,0.0,1.0
PHL,2009,colonization,5,0.0,1.0
PHL,2009,disarmament,8,0.375,1.0
PHL,2009,economic_development,8,0.25,1.0
PHL,2009,human_rights,12,0.08333333333333333,1.0
PHL,2009,israel_palestine,11,0.0,1.0
PHL,2009,nuclear_weapons,7,0.2857142857142857,1.0
PHL,2010,colonization,4,0.0,1.0
PHL,2010,disarmament,10,0.4,1.0
PHL,2010,economic_development,2,0.0,1.0
PHL,2010,human_rights,6,0.0,1.0
PHL,2010,israel_palestine,9,0.0,1.0
PHL,2010,nuclear_weapons,10,0.4,1.0
PHL,2011,colonization,2,0.0,1.0
PHL,2011,disarmament,11,0.45454545454545453,1.0
PHL,2011,economic_development,2,0.0,1.0
PHL,2011,human_rights,6,0.0,1.0
PHL,2011,israel_palestine,8,0.0,1.0
PHL,2011,nuclear_weapons,10,0.4,1.0
PHL,2012,colonization,2,0.0,1.0
PHL,2012,disarmament,6,0.0,1.0
PHL,2012,economic_development,1,0.0,1.0
PHL,2012,human_rights,7,0.0,1.0
PHL,2012,israel_palestine,7,0.0,1.0
PHL,2012,nuclear_weapons,6,0.0,1.0
PHL,2013,colonization,5,0.0,1.0
PHL,2013,disarmament,5,0.2,1.0
PHL,2013,economic_development,3,0.0,1.0
PHL,2013,human_rights,6,0.0,1.0
PHL,2013,israel_palestine,9,0.0,1.0
PHL,2013,nuclear_weapons,4,0.0,1.0
PHL,2014,colonization,2,0.0,1.0
PHL,2014,disarmament,12,0.5,1.0
PHL,2014,economic_development,3,0.3333333333333333,1.0
PHL,2014,human_rights,5,0.4,0.7142857142857143
PHL,2014,israel_palestine,6,0.16666666666666666,1.0
PHL,2014,nuclear_weapons,9,0.4444444444444444,1.0
PHL,2015,colonization,3,0.0,1.0
PHL,2015,disarmament,14,0.2857142857142857,0.9
PHL,2015,economic_development,5,0.2,1.0
PHL,2015,human_rights,12,0.25,0.8461538461538461
PHL,2015,israel_palestine,11,0.09090909090909091,1.0
PHL,2015,nuclear_weapons,11,0.09090909090909091,0.8571428571428571
IDN,1961,colonization,1,1.0,1.0
IDN,1963,colonization,0,,1.0
IDN,1976,colonization,3,0.3333333333333333,0.8
IDN,1976,disarmament,2,1.0,0.5
IDN,1976,economic_development,4,0.25,1.0
IDN,1976,human_rights,1,0.0,1.0
IDN,1976,israel_palestine,2,0.5,1.0
IDN,1976,nuclear_weapons,2,1.0,0.5
IDN,1977,colonization,1,1.0,0.75
IDN,1977,disarmament,3,1.0,1.0
IDN,1977,economic_development,0,,1.0
IDN,1977,nuclear_weapons,2,1.0,1.0
IDN,1978,colonization,4,0.25,0.8333333333333334
IDN,1978,disarmament,1,1.0,0.0
IDN,1978,economic_development,1,0.0,1.0
IDN,1978,human_rights,3,0.3333333333333333,1.0
IDN,1978,israel_palestine,2,0.5,1.0
IDN,1978,nuclear_weapons,1,1.0,0.0
IDN,1979,colonization,8,0.375,0.9090909090909091
IDN,1979,disarmament,2,1.0,1.0
IDN,1979,economic_development,2,0.5,1.0
IDN,1979,human_rights,6,0.16666666666666666,1.0
IDN,1979,israel_palestine,9,0.2222222222222222,1.0
IDN,1979,nuclear_weapons,3,0.6666666666666666,1.0
IDN,1980,colonization,3,0.6666666666666666,1.0
IDN,1980,disarmament,2,0.5,1.0
IDN,1980,economic_development,2,0.0,1.0
IDN,1980,human_rights,2,0.0,1.0
IDN,1980,israel_palestine,5,0.6,1.0
IDN,1980,nuclear_weapons,4,0.0,1.0
IDN,1981,colonization,2,0.0,1.0
IDN,1981,disarmament,8,0.25,1.0
IDN,1981,economic_development,2,0.5,1.0
IDN,1981,human_rights,4,0.0,1.0
IDN,1981,israel_palestine,9,0.0,1.0
IDN,1981,nuclear_weapons,8,0.0,1.0
IDN,1982,colonization,5,0.2,0.8888888888888888
IDN,1982,disarmament,5,0.4,1.0
IDN,1982,economic_development,1,1.0,1.0
IDN,1982,human_rights,9,0.0,1.0
IDN,1982,israel_palestine,7,0.14285714285714285,1.0
IDN,1982,nuclear_weapons,4,0.0,1.0
IDN,1983,colonization,6,0.0,1.0
IDN,1983,disarmament,13,0.15384615384615385,1.0
IDN,1983,economic_development,5,0.0,1.0
IDN,1983,human_rights,6,0.16666666666666666,1.0
IDN,1983,israel_palestine,10,0.0,1.0
IDN,1983,nuclear_weapons,12,0.08333333333333333,0.875
IDN,1984,colonization,7,0.0,1.0
IDN,1984,disarmament,6,0.3333333333333333,1.0
IDN,1984,economic_development,5,0.0,1.0
IDN,1984,human_rights,5,0.2,1.0
IDN,1984,israel_palestine,10,0.1,1.0
IDN,1984,nuclear_weapons,6,0.16666666666666666,1.0
IDN,1985,colonization,4,0.0,1.0
IDN,1985,disarmament,13,0.23076923076923078,1.0
IDN,1985,economic_development,7,0.0,1.0
IDN,1985,human_rights,7,0.14285714285714285,1.0
IDN,1985,israel_palestine,13,0.15384615384615385,1.0
IDN,1985,nuclear_weapons,9,0.2222222222222222,1.0
IDN,1986,colonization,4,0.0,1.0
IDN,1986,disarmament,14,0.2857142857142857,1.0
IDN,1986,economic_development,7,0.0,1.0
IDN,1986,human_rights,10,0.0,1.0
IDN,1986,israel_palestine,12,0.08333333333333333,1.0
IDN,1986,nuclear_weapons,6,0.0,1.0
IDN,1987,colonization,3,0.0,1.0
IDN,1987,disarmament,9,0.1111111111111111,1.0
IDN,1987,economic_development,9,0.0,1.0
IDN,1987,human_rights,11,0.0,1.0
IDN,1987,israel_palestine,15,0.13333333333333333,1.0
IDN,1987,nuclear_weapons,11,0.09090909090909091,1.0
IDN,1988,colonization,6,0.0,1.0
IDN,1988,disarmament,7,0.14285714285714285,1.0
IDN,1988,economic_development,7,0.0,1.0
IDN,1988,human_rights,6,0.0,1.0
IDN,1988,israel_palestine,12,0.16666666666666666,1.0
IDN,1988,nuclear_weapons,9,0.1111111111111111,1.0
IDN,1989,colonization,5,0.0,1.0
IDN,1989,disarmament,12,0.25,1.0
IDN,1989,economic_development,7,0.0,1.0
IDN,1989,human_rights,3,0.0,1.0
IDN,1989,israel_palestine,13,0.0,1.0
IDN,1989,nuclear_weapons,8,0.125,1.0
IDN,1990,colonization,7,0.0,1.0
IDN,1990,disarmament,4,0.5,1.0
IDN,1990,economic_development,5,0.0,1.0
IDN,1990,human_rights,4,0.0,1.0
IDN,1990,israel_palestine,10,0.2,1.0
IDN,1990,nuclear_weapons,6,0.16666666666666666,1.0
IDN,1991,colonization,4,0.0,1.0
IDN,1991,disarmament,2,0.0,1.0
IDN,1991,economic_development,5,0.0,1.0
IDN,1991,human_rights,4,0.0,1.0
IDN,1991,israel_palestine,11,0.0,1.0
IDN,1991,nuclear_weapons,2,0.0,1.0
IDN,1992,colonization,4,0.0,1.0
IDN,1992,disarmament,5,0.4,1.0
IDN,1992,economic_development,5,0.0,1.0
IDN,1992,human_rights,2,0.0,1.0
IDN,1992,israel_palestine,9,0.1111111111111111,1.0
IDN,1992,nuclear_weapons,6,0.3333333333333333,1.0
IDN,1993,colonization,1,0.0,1.0
IDN,1993,disarmament,1,1.0,1.0
IDN,1993,economic_development,2,0.5,1.0
IDN,1993,human_rights,5,0.0,1.0
IDN,1993,israel_palestine,6,0.0,1.0
IDN,1993,nuclear_weapons,2,0.5,1.0
IDN,1994,colonization,5,0.0,1.0
IDN,1994,disarmament,5,0.2,1.0
IDN,1994,economic_development,4,0.0,1.0
IDN,1994,human_rights,3,0.3333333333333333,1.0
IDN,1994,israel_palestine,7,0.0,1.0
IDN,1994,nuclear_weapons,5,0.2,1.0
IDN,1995,colonization,3,0.0,1.0
IDN,1995,disarmament,7,0.5714285714285714,0.8333333333333334
IDN,1995,economic_development,3,0.0,1.0
IDN,1995,human_rights,3,0.3333333333333333,1.0
IDN,1995,israel_palestine,7,0.2857142857142857,1.0
IDN,1995,nuclear_weapons,4,0.5,0.75
IDN,1996,colonization,5,0.0,1.0
IDN,1996,disarmament,4,0.0,1.0
IDN,1996,economic_development,2,0.0,1.0
IDN,1996,human_rights,7,0.2857142857142857,1.0
IDN,1996,israel_palestine,14,0.07142857142857142,1.0
IDN,1996,nuclear_weapons,4,0.5,1.0
IDN,1997,colonization,4,0.0,1.0
IDN,1997,disarmament,8,0.375,1.0
IDN,1997,economic_development,4,0.0,1.0
IDN,1997,human_rights,9,0.2222222222222222,1.0
IDN,1997,israel_palestine,8,0.125,1.0
IDN,1997,nuclear_weapons,5,0.6,1.0
IDN,1998,colonization,4,0.0,1.0
IDN,1998,disarmament,8,0.5,1.0
IDN,1998,economic_development,4,0.0,1.0
IDN,1998,human_rights,9,0.2222222222222222,1.0
IDN,1998,israel_palestine,7,0.14285714285714285,1.0
IDN,1998,nuclear_weapons,4,0.5,1.0
IDN,1999,colonization,5,0.0,1.0
IDN,1999,disarmament,5,0.4,1.0
IDN,1999,economic_development,2,0.0,1.0
IDN,1999,human_rights,8,0.125,1.0
IDN,1999,israel_palestine,12,0.08333333333333333,1.0
IDN,1999,nuclear_weapons,5,0.4,1.0
IDN,2000,colonization,5,0.0,1.0
IDN,2000,disarmament,1,0.0,1.0
IDN,2000,economic_development,0,,1.0
IDN,2000,human_rights,7,0.14285714285714285,1.0
IDN,2000,israel_palestine,8,0.125,1.0
IDN,2000,nuclear_weapons,0,,1.0
IDN,2001,colonization,5,0.0,1.0
IDN,2001,disarmament,1,0.0,1.0
IDN,2001,economic_development,2,0.0,1.0
IDN,2001,human_rights,10,0.0,1.0
IDN,2001,israel_palestine,9,0.0,1.0
IDN,2001,nuclear_weapons,1,0.0,
IDN,2002,colonization,6,0.0,1.0
IDN,2002,disarmament,7,0.2857142857142857,1.0
IDN,2002,economic_development,4,0.0,1.0
IDN,2002,human_rights,10,0.0,1.0
IDN,2002,israel_palestine,12,0.08333333333333333,1.0
IDN,2002,nuclear_weapons,6,0.0,1.0
IDN,2003,colonization,4,0.0,1.0
IDN,2003,disarmament,6,0.16666666666666666,1.0
IDN,2003,economic_development,2,0.0,1.0
IDN,2003,human_rights,13,0.0,1.0
IDN,2003,israel_palestine,14,0.0,1.0
IDN,2003,nuclear_weapons,5,0.2,1.0
IDN,2004,colonization,4,0.0,1.0
IDN,2004,disarmament,9,0.0,1.0
IDN,2004,economic_development,6,0.0,1.0
IDN,2004,human_rights,12,0.0,1.0
IDN,2004,israel_palestine,7,0.0,1.0
IDN,2004,nuclear_weapons,8,0.125,1.0
IDN,2005,colonization,5,0.0,1.0
IDN,2005,disarmament,7,0.0,1.0
IDN,2005,economic_development,4,0.0,1.0
IDN,2005,human_rights,10,0.0,1.0
IDN,2005,israel_palestine,7,0.0,1.0
IDN,2005,nuclear_weapons,7,0.14285714285714285,1.0
IDN,2006,colonization,4,0.0,1.0
IDN,2006,disarmament,12,0.16666666666666666,1.0
IDN,2006,economic_development,5,0.0,1.0
IDN,2006,human_rights,12,0.0,1.0
IDN,2006,israel_palestine,11,0.0,1.0
IDN,2006,nuclear_weapons,8,0.125,1.0
IDN,2007,colonization,2,0.0,1.0
IDN,2007,disarmament,6,0.0,1.0
IDN,2007,economic_development,4,0.0,1.0
IDN,2007,human_rights,6,0.16666666666666666,1.0
IDN,2007,israel_palestine,7,0.0,1.0
IDN,2007,nuclear_weapons,6,0.0,1.0
IDN,2008,colonization,3,0.0,1.0
IDN,2008,disarmament,8,0.25,1.0
IDN,2008,economic_development,4,0.0,1.0
IDN,2008,human_rights,8,0.0,1.0
IDN,2008,israel_palestine,8,0.0,1.0
IDN,2008,nuclear_weapons,9,0.1111111111111111,1.0
IDN,2009,colonization,2,0.0,1.0
IDN,2009,disarmament,5,0.4,1.0
IDN,2009,economic_development,2,0.5,1.0
IDN,2009,human_rights,5,0.0,1.0
IDN,2009,israel_palestine,7,0.0,1.0
IDN,2009,nuclear_weapons,3,0.0,1.0
IDN,2010,colonization,4,0.0,1.0
IDN,2010,disarmament,3,0.3333333333333333,1.0
IDN,2010,economic_development,3,0.0,1.0
IDN,2010,human_rights,6,0.16666666666666666,1.0
IDN,2010,israel_palestine,4,0.0,1.0
IDN,2010,nuclear_weapons,2,0.0,1.0
IDN,2011,colonization,6,0.0,1.0
IDN,2011,disarmament,3,0.0,1.0
IDN,2011,economic_development,3,0.0,1.0
IDN,2011,human_rights,8,0.125,1.0
IDN,2011,israel_palestine,10,0.1,1.0
IDN,2011,nuclear_weapons,4,0.25,1.0
IDN,2012,colonization,7,0.0,1.0
IDN,2012,disarmament,6,0.5,1.0
IDN,2012,economic_development,4,0.0,1.0
IDN,2012,human_rights,7,0.14285714285714285,1.0
IDN,2012,israel_palestine,12,0.08333333333333333,1.0
IDN,2012,nuclear_weapons,5,0.4,1.0
IDN,2013,colonization,1,0.0,1.0
IDN,2013,disarmament,6,0.3333333333333333,1.0
IDN,2013,economic_development,1,0.0,1.0
IDN,2013,human_rights,5,0.0,1.0
IDN,2013,israel_palestine,4,0.0,1.0
IDN,2013,nuclear_weapons,5,0.2,1.0
IDN,2014,colonization,4,0.0,1.0
IDN,2014,disarmament,6,0.16666666666666666,1.0
IDN,2014,economic_development,6,0.0,1.0
IDN,2014,human_rights,9,0.1111111111111111,0.9
IDN,2014,israel_palestine,12,0.08333333333333333,0.9166666666666666
IDN,2014,nuclear_weapons,6,0.16666666666666666,1.0
IDN,2015,colonization,3,0.3333333333333333,1.0
IDN,2015,disarmament,7,0.2857142857142857,0.8333333333333334
IDN,2015,economic_development,5,0.0,1.0
IDN,2015,human_rights,2,0.5,1.0
IDN,2015,israel_palestine,5,0.0,1.0
IDN,2015,nuclear_weapons,6,0.3333333333333333,0.75
IND,1961,colonization,1,1.0,1.0
IND,1963,colonization,0,,1.0
IND,1976,colonization,3,0.3333333333333333,0.8
IND,1976,disarmament,2,1.0,0.4
IND,1976,economic_development,3,0.0,1.0
IND,1976,human_rights,1,0.0,1.0
IND,1976,israel_palestine,2,0.5,1.0
IND,1976,nuclear_weapons,2,1.0,0.4
IND,1977,colonization,1,1.0,0.75
IND,1977,disarmament,3,1.0,1.0
IND,1977,economic_development,0,,1.0
IND,1977,nuclear_weapons,2,1.0,1.0
IND,1978,colonization,3,0.3333333333333333,0.8
IND,1978,disarmament,1,1.0,0.0
IND,1978,economic_development,1,0.0,1.0
IND,1978,human_rights,3,0.6666666666666666,1.0
IND,1978,israel_palestine,2,0.5,1.0
IND,1978,nuclear_weapons,1,1.0,0.0
IND,1979,colonization,8,0.375,0.9090909090909091
IND,1979,disarmament,1,1.0,1.0
IND,1979,economic_development,1,0.0,1.0
IND,1979,human_rights,5,0.0,1.0
IND,1979,israel_palestine,9,0.2222222222222222,1.0
IND,1979,nuclear_weapons,2,0.5,1.0
IND,1980,colonization,2,0.5,1.0
IND,1980,disarmament,3,0.0,0.3333333333333333
IND,1980,economic_development,2,0.0,1.0
IND,1980,human_rights,2,0.0,1.0
IND,1980,israel_palestine,5,0.6,1.0
IND,1980,nuclear_weapons,4,0.0,0.5
IND,1981,colonization,2,0.0,1.0
IND,1981,disarmament,5,0.2,1.0
IND,1981,economic_development,1,0.0,1.0
IND,1981,human_rights,4,0.0,1.0
IND,1981,israel_palestine,8,0.0,1.0
IND,1981,nuclear_weapons,5,0.0,1.0
IND,1982,colonization,5,0.2,0.8888888888888888
IND,1982,disarmament,5,0.4,1.0
IND,1982,economic_development,1,1.0,1.0
IND,1982,human_rights,9,0.1111111111111111,1.0
IND,1982,israel_palestine,7,0.14285714285714285,1.0
IND,1982,nuclear_weapons,3,0.0,1.0
IND,1983,colonization,6,0.0,1.0
IND,1983,disarmament,9,0.0,1.0
IND,1983,economic_development,5,0.0,1.0
IND,1983,human_rights,6,0.0,1.0
IND,1983,israel_palestine,10,0.0,1.0
IND,1983,nuclear_weapons,10,0.0,0.8571428571428571
IND,1984,colonization,7,0.0,1.0
IND,1984,disarmament,7,0.14285714285714285,0.75
IND,1984,economic_development,4,0.0,1.0
IND,1984,human_rights,5,0.0,1.0
IND,1984,israel_palestine,10,0.1,1.0
IND,1984,nuclear_weapons,6,0.16666666666666666,0.8
IND,1985,colonization,4,0.0,1.0
IND,1985,disarmament,9,0.1111111111111111,1.0
IND,1985,economic_development,7,0.0,1.0
IND,1985,human_rights,7,0.0,1.0
IND,1985,israel_palestine,13,0.15384615384615385,1.0
IND,1985,nuclear_weapons,7,0.14285714285714285,1.0
IND,1986,colonization,4,0.0,1.0
IND,1986,disarmament,10,0.1,0.9090909090909091
IND,1986,economic_development,7,0.0,1.0
IND,1986,human_rights,11,0.09090909090909091,1.0
IND,1986,israel_palestine,12,0.08333333333333333,1.0
IND,1986,nuclear_weapons,7,0.0,0.875
IND,1987,colonization,3,0.0,1.0
IND,1987,disarmament,9,0.1111111111111111,1.0
IND,1987,economic_development,9,0.0,1.0
IND,1987,human_rights,10,0.0,1.0
IND,1987,israel_palestine,15,0.13333333333333333,1.0
IND,1987,nuclear_weapons,10,0.1,1.0
IND,1988,colonization,6,0.0,1.0
IND,1988,disarmament,5,0.0,1.0
IND,1988,economic_development,7,0.0,1.0
IND,1988,human_rights,5,0.0,1.0
IND,1988,israel_palestine,12,0.16666666666666666,1.0
IND,1988,nuclear_weapons,7,0.0,1.0
IND,1989,colonization,5,0.0,1.0
IND,1989,disarmament,10,0.1,0.9333333333333333
IND,1989,economic_development,7,0.0,1.0
IND,1989,human_rights,3,0.0,1.0
IND,1989,israel_palestine,13,0.0,1.0
IND,1989,nuclear_weapons,9,0.1111111111111111,0.8888888888888888
IND,1990,colonization,7,0.0,1.0
IND,1990,disarmament,3,0.3333333333333333,1.0
IND,1990,economic_development,5,0.0,1.0
IND,1990,human_rights,4,0.0,1.0
IND,1990,israel_palestine,10,0.2,1.0
IND,1990,nuclear_weapons,4,0.25,1.0
IND,1991,colonization,4,0.0,1.0
IND,1991,disarmament,2,0.0,1.0
IND,1991,economic_development,4,0.0,1.0
IND,1991,human_rights,5,0.4,1.0
IND,1991,israel_palestine,11,0.09090909090909091,1.0
IND,1991,nuclear_weapons,3,0.3333333333333333,1.0
IND,1992,colonization,4,0.0,1.0
IND,1992,disarmament,4,0.25,0.75
IND,1992,economic_development,5,0.0,1.0
IND,1992,human_rights,3,0.3333333333333333,0.8
IND,1992,israel_palestine,8,0.125,1.0
IND,1992,nuclear_weapons,6,0.3333333333333333,0.8
IND,1993,colonization,1,0.0,1.0
IND,1993,disarmament,1,0.0,0.5
IND,1993,economic_development,1,0.0,1.0
IND,1993,human_rights,5,0.0,1.0
IND,1993,israel_palestine,6,0.0,1.0
IND,1993,nuclear_weapons,3,0.3333333333333333,0.5
IND,1994,colonization,5,0.0,1.0
IND,1994,disarmament,4,0.0,0.75
IND,1994,economic_development,4,0.0,1.0
IND,1994,human_rights,2,0.0,1.0
IND,1994,israel_palestine,6,0.0,1.0
IND,1994,nuclear_weapons,5,0.2,0.6666666666666666
IND,1995,colonization,3,0.0,1.0
IND,1995,disarmament,3,0.0,0.75
IND,1995,economic_development,4,0.25,1.0
IND,1995,human_rights,3,0.3333333333333333,1.0
IND,1995,israel_palestine,7,0.2857142857142857,1.0
IND,1995,nuclear_weapons,2,0.0,0.6666666666666666
IND,1996,colonization,5,0.0,1.0
IND,1996,disarmament,4,0.0,1.0
IND,1996,economic_development,2,0.0,1.0
IND,1996,human_rights,6,0.0,1.0
IND,1996,israel_palestine,14,0.07142857142857142,1.0
IND,1996,nuclear_weapons,4,0.25,0.75
IND,1997,colonization,4,0.0,1.0
IND,1997,disarmament,6,0.5,1.0
IND,1997,economic_development,4,0.0,1.0
IND,1997,human_rights,8,0.0,1.0
IND,1997,israel_palestine,7,0.14285714285714285,1.0
IND,1997,nuclear_weapons,3,0.6666666666666666,1.0
IND,1998,colonization,4,0.0,1.0
IND,1998,disarmament,6,0.5,0.8
IND,1998,economic_development,4,0.0,1.0
IND,1998,human_rights,8,0.0,1.0
IND,1998,israel_palestine,7,0.14285714285714285,1.0
IND,1998,nuclear_weapons,2,0.5,1.0
IND,1999,colonization,5,0.0,1.0
IND,1999,disarmament,3,0.0,0.5
IND,1999,economic_development,3,0.3333333333333333,1.0
IND,1999,human_rights,8,0.0,1.0
IND,1999,israel_palestine,12,0.08333333333333333,1.0
IND,1999,nuclear_weapons,2,0.0,1.0
IND,2000,colonization,5,0.0,1.0
IND,2000,disarmament,1,0.0,1.0
IND,2000,economic_development,0,,
IND,2000,human_rights,7,0.14285714285714285,1.0
IND,2000,israel_palestine,8,0.125,1.0
IND,2000,nuclear_weapons,0,,1.0
IND,2001,colonization,5,0.0,1.0
IND,2001,disarmament,1,0.0,1.0
IND,2001,economic_development,2,0.0,1.0
IND,2001,human_rights,10,0.0,1.0
IND,2001,israel_palestine,9,0.0,1.0
IND,2001,nuclear_weapons,1,0.0,
IND,2002,colonization,6,0.0,1.0
IND,2002,disarmament,5,0.4,0.8
IND,2002,economic_development,4,0.0,1.0
IND,2002,human_rights,9,0.0,1.0
IND,2002,israel_palestine,11,0.09090909090909091,1.0
IND,2002,nuclear_weapons,3,0.3333333333333333,1.0
IND,2003,colonization,4,0.0,1.0
IND,2003,disarmament,4,0.25,1.0
IND,2003,economic_development,2,0.0,1.0
IND,2003,human_rights,12,0.0,1.0
IND,2003,israel_palestine,13,0.0,1.0
IND,2003,nuclear_weapons,3,0.3333333333333333,1.0
IND,2004,colonization,4,0.0,1.0
IND,2004,disarmament,6,0.0,1.0
IND,2004,economic_development,6,0.0,1.0
IND,2004,human_rights,12,0.08333333333333333,1.0
IND,2004,israel_palestine,6,0.0,1.0
IND,2004,nuclear_weapons,4,0.25,1.0
IND,2005,colonization,5,0.0,1.0
IND,2005,disarmament,6,0.16666666666666666,1.0
IND,2005,economic_development,4,0.0,1.0
IND,2005,human_rights,9,0.0,1.0
IND,2005,israel_palestine,6,0.0,1.0
IND,2005,nuclear_weapons,4,0.25,1.0
IND,2006,colonization,4,0.0,1.0
IND,2006,disarmament,9,0.2222222222222222,0.875
IND,2006,economic_development,5,0.0,1.0
IND,2006,human_rights,12,0.0,1.0
IND,2006,israel_palestine,10,0.0,1.0
IND,2006,nuclear_weapons,4,0.25,0.6666666666666666
IND,2007,colonization,2,0.0,1.0
IND,2007,disarmament,4,0.0,1.0
IND,2007,economic_development,4,0.0,1.0
IND,2007,human_rights,4,0.25,1.0
IND,2007,israel_palestine,6,0.0,1.0
IND,2007,nuclear_weapons,3,0.0,1.0
IND,2008,colonization,3,0.0,1.0
IND,2008,disarmament,7,0.42857142857142855,1.0
IND,2008,economic_development,5,0.0,1.0
IND,2008,human_rights,7,0.0,1.0
IND,2008,israel_palestine,8,0.0,1.0
IND,2008,nuclear_weapons,6,0.3333333333333333,1.0
IND,2009,colonization,2,0.0,1.0
IND,2009,disarmament,4,0.5,1.0
IND,2009,economic_development,2,0.5,1.0
IND,2009,human_rights,4,0.0,1.0
IND,2009,israel_palestine,6,0.0,1.0
IND,2009,nuclear_weapons,2,0.0,1.0
IND,2010,colonization,4,0.0,1.0
IND,2010,disarmament,3,0.0,0.6666666666666666
IND,2010,economic_development,3,0.0,1.0
IND,2010,human_rights,6,0.16666666666666666,1.0
IND,2010,israel_palestine,4,0.0,1.0
IND,2010,nuclear_weapons,2,0.0,1.0
IND,2011,colonization,6,0.0,1.0
IND,2011,disarmament,2,0.0,1.0
IND,2011,economic_development,4,0.25,1.0
IND,2011,human_rights,8,0.125,0.8888888888888888
IND,2011,israel_palestine,9,0.0,1.0
IND,2011,nuclear_weapons,2,0.0,1.0
IND,2012,colonization,7,0.0,1.0
IND,2012,disarmament,4,0.25,0.8
IND,2012,economic_development,4,0.0,1.0
IND,2012,human_rights,8,0.25,1.0
IND,2012,israel_palestine,12,0.08333333333333333,1.0
IND,2012,nuclear_weapons,3,0.3333333333333333,1.0
